Código Antiguo ;Código Vigente;Código  Madre Antiguo;Código Madre Nuevo;Código Región;Nombre Región;Código Dependencia Jerárquica (SEREMI / Servicio de Salud);Nombre Dependencia Jerárquica (SEREMI / Servicio de Salud);Pertenencia al SNSS;Tipo Establecimiento (Unidad);Ámbito de Funcionamiento;Nombre Oficial;Certificación ;Dependencia Administrativa;Nivel de Atención;Código Comuna;Nombre Comuna;Vía;Número;Dirección;Teléfono;Fecha Inicio Funcionamiento;Tiene Servicio de Urgencia;Tipo de Urgencia ;Clasificcion Tipo de SAPU;LATITUD      [Grados decimales];LONGITUD [Grados decimales];Tipo de Prestador Sistema de Salud;Estado de Funcionamiento;Nivel de Complejidad;Tipo de Atención ;
26-704;126704;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;Hospital Comunitario Cristina Calderón de Puerto Williams;No Aplica;Servicio de Salud;Primario;12201;Cabo de Hornos;Calle;246;O'Higgins;612453636;38716;SI;Urgencia Hospitalaria (UEH);No Aplica;-54,935209;-67,600393;Público ;Vigente en operación habitual;Baja Complejidad;Atención Cerrada-Hospitalaria;
26-204;126204;;;12;Región De Magallanes y de la Antártica Chilena;12;SEREMI De Magallanes y la Antártica Chilena;No perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;Hospital Naval (Puerto Williams) ;No Aplica;Fuerzas Armadas y de Orden (FFAA);Terciario;12201;Cabo de Hornos;Calle;56;Mc Intyre, Puerto Williams;612624328;38716;SI;Urgencia Hospitalaria (UEH);No Aplica;-54,934374;-67,608895;Fuerzas Armadas y de Orden;Vigente en operación habitual;Mediana Complejidad;Atención Cerrada-Hospitalaria;
26-412;126412;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Cameron;No Aplica;Municipal;Primario;12303;Timaukel;Calle;;Caserío de Camerón;74613302;38716;NO;No Aplica;No Aplica;-53,640546;-69,645848;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-414;126414;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Agua Fresca;No Aplica;Municipal;Primario;12101;Punta Arenas;Calle;;Caserío de Agua Fresca;612260555;38716;NO;No Aplica;No Aplica;-53,404244;-70,990158;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-102;126102;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;Hospital Dr. Marco Antonio Chamorro ( Porvenir);No Aplica;Servicio de Salud;Primario;12301;Porvenir;Calle;480;Carlos Wood ;612291800;38716;SI;Urgencia Hospitalaria (UEH);No Aplica;-53,298162;-70,358384;Público ;Vigente en operación habitual;Baja Complejidad;Atención Cerrada-Hospitalaria;
201364;201364;;;8;Región Del Bíobío;8;SEREMI Del Biobío;No perteneciente al Sistema Nacional de Servicios de Salud;Clínica Dental;Establecimiento de Salud; UNO SALUD DENTAL LOS ÁNGELES 2;No Aplica;Privado;No Aplica;08301;Los Ángeles;Avenida;610;ALEMANIA ;;44970;No;No Aplica;No Aplica;-37,468505;-72,340387;Privado;Vigente en operación habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
26-902;200311;26-301;126301;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Familiar (CECOSF);Establecimiento de Salud;Centro Comunitario de Salud Familiar Dr. Juan Damianovic;No Aplica;Municipal;Primario;12101;Punta Arenas;Calle;370;Linao;;42783;NO;No Aplica;No Aplica;-53,180523;-70,951523;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-911;200710;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Mental;Establecimiento de Salud;Complejo Miraflores (Salud Mental);No Aplica;Servicio de Salud;Secundario;12101;Punta Arenas;Calle;825;Las Heras;611739;38716;NO;No Aplica;No Aplica;-53,178263;-70,921575;Público ;Vigente en operación habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
26-606;126606;26-010;126010;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Mental  (COSAM);Unidad de Atención;COSAM Punta Arenas;No Aplica;Municipal;Secundario;12101;Punta Arenas;Calle;225;Junta de Gobierno;612291250;38716;NO;No Aplica;No Aplica;-53,178248;-70,922132;Público ;Vigente en operación habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
26-801;126801;26-301;126301;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR);Establecimiento de Salud;SAR Dr. Juan Damianovic;No Aplica;Municipal;Primario;12101;Punta Arenas;Calle;2850;Zenteno ;612260555;44463;SI;Urgencia ambulatoria (SAR);No Aplica;-53,174898;-70,938015;Público ;Vigente en operación habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
